,Date,Open,High,Low,Close,Adj.Close,Volume,Rate,Variance
64,1/29/2020,3281.75,3292.75,3265.25,3272.5,3272.5,1910878,0.281861812,0.008379675
65,1/30/2020,3271.5,3295.25,3239.75,3289.75,3289.75,1665382,-0.557848082,0.016964695
66,1/31/2020,3292,3297.5,3212.75,3224,3224,2421276,2.065613609,0.025744228
67,2/2/2020,3222.75,3236.25,3222,3233,3233,1619113,-0.318051354,0.00442169
68,2/3/2020,3222.75,3267.25,3222,3245.5,3245.5,3152069,-0.705918858,0.014040804
69,2/4/2020,3244.25,3305.25,3236,3299.5,3299.5,1919477,-1.703013023,0.021345457
70,2/5/2020,3300.25,3338,3288.25,3335,3335,1698403,-1.052950534,0.015074616
71,2/6/2020,3337,3357.75,3332.5,3345.25,3345.25,2046111,-0.247228049,0.007566677
72,2/7/2020,3349,3350,3320.75,3325.5,3325.5,1462323,0.701702001,0.00873395
73,2/9/2020,3322.25,3329.25,3303.5,3313.25,3313.25,1033468,0.270900745,0.007750771
74,2/10/2020,3322.25,3353.5,3303.5,3353,3353,1698940,-0.925577545,0.015050041
75,2/11/2020,3351,3374.5,3349.25,3357.5,3357.5,1399815,-0.193971949,0.007535064
76,2/12/2020,3360.5,3381.5,3355.5,3380.5,3380.5,1486164,-0.595149531,0.007736944
77,2/13/2020,3381.25,3384.75,3348.5,3377.5,3377.5,1229231,0.11090573,0.010720887
78,2/14/2020,3379.5,3388.5,3365.25,3381,3381,1772784,-0.044385264,0.006879716
79,2/16/2020,3382.25,3389.5,3382,3387.75,3387.75,518469,-0.162613645,0.002217459
80,2/18/2020,3382.25,3392.5,3355.25,3369.25,3369.25,1334897,0.384359524,0.011013379
81,2/19/2020,3372,3393.75,3370.75,3387.25,3387.25,1735931,-0.452253855,0.006820878
82,2/20/2020,3391.75,3397.5,3339.25,3369.25,3369.25,1163426,0.663374364,0.017174025
83,2/21/2020,3367,3369.25,3328,3339.25,3339.25,2073749,0.824175824,0.012251262
84,2/23/2020,3309,3312,3289.5,3299.25,3299.25,3553955,0.294650952,0.006799637
85,2/24/2020,3309,3312,3213.75,3226.25,3226.25,2293728,2.500755515,0.02969175
86,2/25/2020,3223,3259.5,3117.25,3132.5,3132.5,3636687,2.80794291,0.044135898
87,2/26/2020,3138,3182,3091,3110.25,3110.25,4375530,0.884321224,0.028999363
88,2/27/2020,3100.25,3117,2952.25,3110.25,3110.25,4572181,-0.322554633,0.053140876
89,2/28/2020,2950,2994.25,2853.25,2956.899902,2956.899902,5450283,-0.233894983,0.04779661
90,3/1/2020,2950,2996,2853.25,2957,2957,5499126,-0.237288136,0.048389831
91,3/2/2020,2900,3093.25,2889.25,2951.100098,2951.100098,3515977,-1.762072345,0.070344828
92,3/3/2020,3077,3137,2973,3065.100098,3065.100098,3617838,0.386737147,0.053298668
93,3/4/2020,2988.25,3129.5,2976.5,2997.100098,2997.100098,2456513,-0.296163239,0.051200535
94,3/5/2020,3109.25,3113.75,2996.5,3114.699951,3114.699951,2649868,-0.175281853,0.037710059
95,3/6/2020,3024.25,3037,2898,3015.5,3015.5,2992638,0.289327933,0.045961809
96,3/8/2020,3024.25,3037,2898,3015.5,3015.5,3010973,0.289327933,0.045961809
97,3/9/2020,2916,2916,2715,2964.100098,2964.100098,2490454,-1.649523251,0.068930041
98,3/10/2020,2733,2884.75,2695.25,2747.699951,2747.699951,3273594,-0.537868679,0.069337724
99,3/11/2020,2859.5,2869.5,2702.75,2865.75,2865.75,2824963,-0.21856968,0.058314391
100,3/12/2020,2738,2774,2442.5,2740.300049,2740.300049,4207725,-0.084004711,0.121073776
101,3/13/2020,2429.5,2707.75,2393.5,2468.899902,2468.899902,3244207,-1.621728833,0.129347602
102,3/15/2020,2429.5,2707.75,2393.5,2468.899902,2468.899902,3295273,-1.621728833,0.129347602
103,3/16/2020,2631.5,2652,2350,2683.899902,2683.899902,3415781,-1.991256014,0.114763443
104,3/17/2020,2498,2554.5,2352,2408,2408,1041038635,3.602882306,0.081064852
105,3/18/2020,2467.5,2486.25,2262,2485.5,2485.5,3085714,-0.729483283,0.090881459
106,3/19/2020,2402.5,2460,2275,2401.399902,2401.399902,3022652,0.045789719,0.077003122
107,3/20/2020,2351,2499,2280,2389,2389,2885909,-1.616333475,0.09315185
108,3/22/2020,2220.25,2229,2174,2203.25,2203.25,3590572,0.765679541,0.024771985
