"","Date","Open","High","Low","Close","Adj.Close","Volume","Rate","Daily_Rate"
"79","2/16/2020",29384,29464,29384,29441,29441,9274,0.00272257,-0.193983120065342
"80","2/18/2020",29384,29476,29100,29211,29211,174890,0.012796079,0.588755785461476
"81","2/19/2020",29240,29397,29232,29337,29337,268667,0.005642955,-0.331737346101231
"82","2/20/2020",29366,29434,28931,29171,29171,153041,0.017128652,0.664033235714772
"83","2/21/2020",29154,29176,28871,28981,28981,288117,0.010461686,0.593400562530013
"84","2/23/2020",28745,28754,28578,28646,28646,526935,0.006122804,0.344407723082275
"85","2/24/2020",28745,28754,27887,27968,27968,322584,0.030161767,2.7030787963124
"86","2/25/2020",27927,28234,26976,27117,27117,503595,0.045046013,2.9004189494038
"87","2/26/2020",27124,27519,26692,26914,26914,571418,0.030489603,0.774222091137
"88","2/27/2020",26820,26977,25500,26914,26914,685585,0.055070843,-0.35048471290082
"89","2/28/2020",25522,25772,24675,25552,25552,731986,0.042982525,-0.117545646892877
"90","3/1/2020",0,0,0,0,25364,0,0,0
"91","3/2/2020",25196,26711,24851,25364,25364,632358,0.073821241,-0.666772503571996
"92","3/3/2020",26562,27059,25679,26468,26468,603332,0.051953919,0.353889014381447
"93","3/4/2020",25809,27075,25688,25880,25880,380234,0.053740943,-0.275097834088884
"94","3/5/2020",26921,26973,25915,26965,26965,459206,0.039300175,-0.163441179748152
"95","3/6/2020",26143,26282,25193,26060,26060,578672,0.04165551,0.317484603909268
"96","3/8/2020",0,0,0,0,25789,0,0,0
"97","3/9/2020",25356,25356,23549,25789,25789,334049,0.071265184,-1.70768259977915
"98","3/10/2020",23727,25020,23424,23877,23877,523135,0.067265141,-0.632191174611202
"99","3/11/2020",24838,24890,23300,24849,24849,493500,0.064014816,-0.0442869796279894
"100","3/12/2020",23565,23851,20875,23575,23575,464263,0.126288988,-0.0424358158285593
"101","3/13/2020",20678,23022,20230,20944,20944,230212,0.135022729,-1.2863913337847
"102","3/15/2020",0,0,0,0,22988,0,0,0
"103","3/16/2020",22705,22708,19975,22839,22839,137995,0.120369963,-0.590178374807311
"104","3/17/2020",21106,21375,19741,20373,20373,81314866,0.077418743,3.47294608168293
"105","3/18/2020",20715,20845,18766,20860,20860,228910,0.100362056,-0.699975862901279
"106","3/19/2020",19900,20393,18834,19853,19853,239922,0.078341709,0.236180904522613
"107","3/20/2020",19583,20882,18825,19875,19875,285733,0.105040086,-1.49108921002911
"108","3/22/2020",18504,18507,18086,18238,18238,204991,0.022751837,1.43752702118461
"109","3/23/2020",18230,19804,18088,18745,18745,119535345,0.094130554,-2.8250137136588
"110","3/24/2020",18987,20943,18925,20511,20511,106863898,0.106283246,-8.0265444778006
"111","3/25/2020",20446,21892,20279,21100,21100,130872632,0.078890737,-3.19866966643842
"112","3/26/2020",20998,22545,20510,22492,22492,123364604,0.096913992,-7.11496332984094
"113","3/27/2020",22123,22321,21316,21410,21410,98666789,0.045427835,3.22289020476427
"114","3/29/2020",20926,21244,20778,21213,21213,711107,0.022268948,-1.37149956991303
"115","3/30/2020",21350,22250,21153,22196,22196,82143599,0.051381733,-3.96252927400468
"116","3/31/2020",22204,22386,21470,21502,21502,66006634,0.041253828,3.1615925058548
"117","4/1/2020",21397,21423,20648,20932,20932,82218631,0.036220031,2.17320185072674
"118","4/2/2020",21030,21374,20500,21160,21160,97616148,0.041559677,-0.618164526866381
"119","4/3/2020",21044,21331,20740,20928,20928,63241057,0.028084014,0.551226002661091
"120","4/5/2020",0,0,0,0,0,0,0,0
"121","4/6/2020",21647,22663,21620,22555,22555,96739993,0.048182196,-4.19457661569732
"122","4/7/2020",22496,23477,22300,22488,22488,274505,0.052320413,0.0355618776671408
"123","4/8/2020",22498,23426,22337,23417,23417,98632961,0.048404303,-4.08480753844786
"124","4/9/2020",23267,23889,23020,23676,23676,110699818,0.037349035,-1.75785447199897
